Statistical profiling result from isolate-00000206CD5EB760-v8.log, (17389 ticks, 46 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Handler: next {422}
      1    0.0%    0.0%  Handler: next {421}
      1    0.0%    0.0%  Handler: next {418}
      1    0.0%    0.0%  Handler: next {417}
      1    0.0%    0.0%  Handler: next {416}
      1    0.0%    0.0%  Handler: next {415}
      1    0.0%    0.0%  Handler: next {414}
      1    0.0%    0.0%  Handler: next {412}
      1    0.0%    0.0%  Handler: next {411}
      1    0.0%    0.0%  Handler: next {409}
      1    0.0%    0.0%  Handler: next {407}
      1    0.0%    0.0%  Handler: next {406}
      1    0.0%    0.0%  Handler: next {403}
      1    0.0%    0.0%  Handler: next {402}
      1    0.0%    0.0%  Handler: next {3}
      1    0.0%    0.0%  Handler: next {39}
      1    0.0%    0.0%  Handler: next {399}
      1    0.0%    0.0%  Handler: next {398}
      1    0.0%    0.0%  Handler: next {397}
      1    0.0%    0.0%  Handler: next {396}
      1    0.0%    0.0%  Handler: next {395}
      1    0.0%    0.0%  Handler: next {394}
      1    0.0%    0.0%  Handler: next {393}
      1    0.0%    0.0%  Handler: next {392}
      1    0.0%    0.0%  Handler: next {391}
      1    0.0%    0.0%  Handler: next {390}
      1    0.0%    0.0%  Handler: next {38}
      1    0.0%    0.0%  Handler: next {389}
      1    0.0%    0.0%  Handler: next {388}
      1    0.0%    0.0%  Handler: next {387}
      1    0.0%    0.0%  Handler: next {385}
      1    0.0%    0.0%  Handler: next {384}
      1    0.0%    0.0%  Handler: next {383}
      1    0.0%    0.0%  Handler: next {37}
      1    0.0%    0.0%  Handler: next {379}
      1    0.0%    0.0%  Handler: next {378}
      1    0.0%    0.0%  Handler: next {377}
      1    0.0%    0.0%  Handler: next {375}
      1    0.0%    0.0%  Handler: next {374}
      1    0.0%    0.0%  Handler: next {373}
      1    0.0%    0.0%  Handler: next {371}
      1    0.0%    0.0%  Handler: next {370}
      1    0.0%    0.0%  Handler: next {36}
      1    0.0%    0.0%  Handler: next {368}
      1    0.0%    0.0%  Handler: next {367}
      1    0.0%    0.0%  Handler: next {365}
      1    0.0%    0.0%  Handler: next {363}
      1    0.0%    0.0%  Handler: next {362}
      1    0.0%    0.0%  Handler: next {361}
      1    0.0%    0.0%  Handler: next {360}
      1    0.0%    0.0%  Handler: next {35}
      1    0.0%    0.0%  Handler: next {358}
      1    0.0%    0.0%  Handler: next {356}
      1    0.0%    0.0%  Handler: next {354}
      1    0.0%    0.0%  Handler: next {352}
      1    0.0%    0.0%  Handler: next {351}
      1    0.0%    0.0%  Handler: next {350}
      1    0.0%    0.0%  Handler: next {349}
      1    0.0%    0.0%  Handler: next {348}
      1    0.0%    0.0%  Handler: next {347}
      1    0.0%    0.0%  Handler: next {346}
      1    0.0%    0.0%  Handler: next {344}
      1    0.0%    0.0%  Handler: next {343}
      1    0.0%    0.0%  Handler: next {342}
      1    0.0%    0.0%  Handler: next {340}
      1    0.0%    0.0%  Handler: next {33}
      1    0.0%    0.0%  Handler: next {339}
      1    0.0%    0.0%  Handler: next {338}
      1    0.0%    0.0%  Handler: next {337}
      1    0.0%    0.0%  Handler: next {336}
      1    0.0%    0.0%  Handler: next {335}
      1    0.0%    0.0%  Handler: next {334}
      1    0.0%    0.0%  Handler: next {333}
      1    0.0%    0.0%  Handler: next {32}
      1    0.0%    0.0%  Handler: next {326}
      1    0.0%    0.0%  Handler: next {324}
